EN,ASCII,Description,Compositional_strategy,Attribute,Label
money symbols,$$$ $ $,ASCII '$$$ $ $' represents 'money symbols',Semantic List,OBJECT,1
many ats,######,ASCII '######' does NOT represent 'many ats',Reduplication,OBJECT,0
creepy reach,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' represents 'creepy reach',Metaphorical,ACTION,1
curly brackets,{},ASCII '{}' represents 'curly brackets',Direct,OBJECT,1
concerned look,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' represents 'concerned look',Metaphorical,EMOTION,1
reverse arrows,|| | ||,ASCII '|| | ||' does NOT represent 'reverse arrows',Semantic List,OBJECT,0
playful tongue,(),ASCII '()' does NOT represent 'playful tongue',Direct,OBJECT,0
many ups,++++++,ASCII '++++++' does NOT represent 'many ups',Reduplication,OBJECT,0
cute smile,ಥ_ಥ,ASCII 'ಥ_ಥ' does NOT represent 'cute smile',Metaphorical,EMOTION,0
percent signs,<- <-- <---,ASCII '<- <-- <---' does NOT represent 'percent signs',Semantic List,ACTION,0
long equals,******,ASCII '******' does NOT represent 'long equals',Reduplication,OBJECT,0
putting table back,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' represents 'putting table back',Metaphorical,ACTION,1
happy face,:),ASCII ':)' represents 'happy face',Direct,EMOTION,1
finger guns,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' represents 'finger guns',Metaphorical,ACTION,1
growing confusion,??? ? ?,ASCII '??? ? ?' represents 'growing confusion',Semantic List,STATE,1
adding more,+++ + +,ASCII '+++ + +' represents 'adding more',Semantic List,ACTION,1
continuous laughing,@@@@@@,ASCII '@@@@@@' does NOT represent 'continuous laughing',Reduplication,OBJECT,0
ellipsis pattern,%%% % %,ASCII '%%% % %' does NOT represent 'ellipsis pattern',Semantic List,OBJECT,0
happy walking,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' represents 'happy walking',Metaphorical,ACTION,1
both hands up,\o/,ASCII '\o/' represents 'both hands up',Direct,ACTION,1
praying hands,_/\_,ASCII '_/\_' represents 'praying hands',Direct,ACTION,1
circle shape,o,ASCII 'o' represents 'circle shape',Direct,OBJECT,1
person waving,~~~,ASCII '~~~' does NOT represent 'person waving',Direct,OBJECT,0
plus signs,_/\_,ASCII '_/\_' does NOT represent 'plus signs',Direct,ACTION,0
many pluses,lolololol,ASCII 'lolololol' does NOT represent 'many pluses',Reduplication,EMOTION,0
